quarter,time_remaining,score_margin,home_or_away,possession_number,player_points,player_fouls,player_shots_attempted,player_3pt_attempted,player_3pt_made,player_fatigue,player_2pt_pct,player_3pt_pct,player_usage_rate,player_position,shot_type
1,141.47061620847202,-17,0,38,7,1,22,18,12,0.6066408852256573,0.41573645143715887,0.4227977716631865,0.1884667983602053,1,1
1,152.45702067774207,-4,1,1,0,4,7,4,1,0.9165923653643955,0.6772026767793096,0.35189107805953257,0.10331531879170934,1,1
2,29.878074367132584,-13,1,39,5,3,1,1,1,0.9502136073945268,0.637543249149096,0.35785418155201665,0.28316450700679135,3,1
3,231.88862534092542,13,0,27,10,0,25,4,0,0.004410133980310316,0.4307994404614769,0.2992794305524541,0.2732486639069103,4,0
2,403.01615616024594,-10,1,36,2,5,13,9,9,0.3170750313763564,0.6330730457152999,0.2523877488665688,0.25504430656975774,3,1
2,617.7131380780768,10,0,160,30,3,11,6,0,0.8373780294652269,0.6531999092280989,0.3373397848923442,0.2613113361935989,1,0
3,480.1877621702501,-10,0,169,27,3,25,8,1,0.5364452053515353,0.6715904995547712,0.2871035899206464,0.3530567113431894,2,1
1,313.48535284782105,17,0,143,4,3,22,13,8,0.8075087334821528,0.563108220239908,0.3554316989218288,0.19506097739206923,4,0
2,686.2464823637793,0,1,31,25,5,16,5,5,0.853323282837938,0.6110236211584288,0.4584562719824896,0.26507618320006215,2,1
2,517.8565444145989,9,0,127,15,3,18,9,4,0.4426262199413228,0.6286717836883032,0.27868859085067993,0.3039842877575639,2,0
2,669.718946061036,-11,1,6,30,0,5,0,0,0.35898293802478554,0.6065916805468321,0.2729384005340366,0.1629456780785683,5,1
4,379.86334075595926,5,1,89,27,5,20,10,8,0.4554332660505255,0.5940500860916781,0.4755255549913905,0.37744582451410724,1,0
1,186.4110778510605,6,0,180,6,5,4,0,0,0.6527952026242663,0.5642677758333651,0.4362848906095808,0.3211367574321733,2,0
3,38.03521418259983,-13,1,150,37,1,24,3,1,0.36715915288681833,0.5437586362586708,0.2632674664043975,0.11598862004682205,1,0
3,522.7810930683723,18,0,31,8,4,5,5,1,0.7749882886977527,0.6988375058694491,0.26989262131439595,0.35953200938137875,3,0
1,87.33815856398456,-13,0,100,38,5,2,0,0,0.9039927936850224,0.5012682341266469,0.42123105703723185,0.3789610436080364,3,0
3,217.99809235581637,-13,1,73,34,1,15,14,9,0.2823112021587265,0.4264806311333646,0.34258605053692154,0.33810101446712654,2,0
1,383.3790536764061,13,0,46,26,0,17,9,2,0.9649896441742395,0.6295110895010883,0.43104332388611055,0.22786738050810068,1,1
1,406.3799432014183,-5,1,195,11,4,13,0,0,0.6227252467253106,0.46414731336084825,0.3511135173251194,0.39831306991533566,5,0
4,432.41990183073796,20,1,97,24,5,24,9,7,0.878168771219741,0.5598080078856117,0.49194667183029195,0.13733076982327333,4,0
4,119.70383785178446,-8,1,171,28,2,14,4,4,0.10391643527210548,0.4287404549801712,0.42360415306516275,0.26098175240607263,3,1
4,273.4109314715871,2,0,1,30,1,25,18,8,0.2514991370562387,0.5857851582450372,0.2616539412114187,0.15111724122176184,3,0
2,444.379843524216,-9,1,172,33,0,3,2,1,0.3210190794325922,0.6832022211709666,0.33262544371934155,0.2318046408538661,5,1
1,698.2695825363251,6,0,57,32,0,10,7,0,0.3028221511745133,0.6168114137820873,0.3909015465340073,0.378227291987674,2,1
3,523.8944191437758,1,0,9,26,0,4,2,0,0.17186115659853185,0.46436043346798406,0.28546840955008934,0.33827833852049993,3,1
2,664.2747051076497,11,1,5,1,4,8,2,0,0.8682009475248323,0.6913414135866582,0.25063007501882395,0.3346245824591021,3,0
1,548.7926819862075,6,1,79,13,3,4,2,1,0.41861214128955004,0.49212607930736446,0.2698270330804291,0.20615614029454643,4,0
2,426.0362176025283,-19,0,114,12,2,6,2,0,0.9631302124667881,0.5309844959474064,0.38106586942404197,0.38028105323306227,5,0
1,138.25682577816806,12,1,9,23,4,17,10,0,0.5834723667901471,0.5494351061118402,0.4080637727213927,0.21047827919619788,5,0
4,480.0136693626094,5,1,173,4,4,17,5,3,0.1383946356448631,0.6972156230120418,0.2732258439235531,0.1119920307159813,1,0
2,448.8332874911331,7,1,24,33,5,19,5,2,0.5459047098339571,0.420667420215755,0.4162891309764033,0.29134037873828933,5,0
3,433.77780272923184,-2,0,170,22,1,23,14,13,0.9935451477242423,0.609018488330671,0.404281039313669,0.208794284957768,4,0
2,352.6458249515333,-16,1,150,18,2,1,0,0,0.5651716870992748,0.5085792627078207,0.48497424550281565,0.14611746647065485,5,0
3,380.63275487227844,12,0,103,29,0,25,21,3,0.0018693451295626051,0.4234975957307318,0.4601688728905675,0.38039741861622756,1,0
3,240.79861952503492,-1,0,60,15,4,22,10,0,0.9330799035904191,0.6805094972898569,0.4858104659347413,0.2911718602102731,4,0
1,373.90513870245826,9,1,86,39,2,12,7,4,0.23489440612818935,0.5769574957429195,0.49152690578919156,0.3821589068530693,3,0
4,142.24025208850435,-13,1,165,33,1,12,10,2,0.6885290530689566,0.6260554022766327,0.3602021339949055,0.2748936046882246,2,1
4,579.7255660994713,17,0,116,10,3,16,7,3,0.5150801549554427,0.4721156306713839,0.3719776703195027,0.11915909788773169,3,0
4,133.75940738306963,-4,0,167,13,2,24,22,13,0.32543375684088616,0.628462276788827,0.32040549207227526,0.10898215411311284,1,1
4,61.17572872041582,-20,1,84,14,0,25,15,15,0.28263952367638867,0.6485426320069649,0.37710810064870925,0.3701684305006868,4,0
3,314.0971389771533,-18,0,90,34,4,21,2,1,0.9287598625071047,0.5292488191643429,0.287678674549803,0.11161838106361241,3,1
4,473.9813564443645,5,1,89,6,3,16,7,0,0.9119258959198372,0.5715869418243896,0.41785774018954946,0.28455273915483387,1,0
1,315.1561139521498,10,0,181,28,1,25,7,2,0.5131348400537792,0.6915617604788664,0.2562331336662574,0.18939274223270952,3,0
1,199.2629750049422,-13,1,120,21,0,5,4,2,0.2584951955351392,0.6540188925123276,0.30890693907138744,0.30629744173089024,2,0
1,401.8832524011173,-13,0,156,22,3,13,0,0,0.10234203217199778,0.5334550183204493,0.3020179245478288,0.18541672861514383,3,0
2,249.84168149678396,14,1,143,23,5,20,9,2,0.1565763828590856,0.5993721576267537,0.4844722678555135,0.11116665113484699,3,1
2,671.6647368911758,18,1,188,34,5,13,4,3,0.5222517257406045,0.635269443040754,0.2862254379269623,0.3192515418396744,3,0
2,664.3045005145719,7,0,188,9,1,11,4,0,0.30782996057900913,0.40729864617347455,0.4726938626957735,0.19327078907906348,1,1
4,361.70771037990875,-17,1,6,7,0,4,0,0,0.0420681422599567,0.5765097959875811,0.28108955534204094,0.2652396781779648,4,0
2,236.07647569314614,-5,0,52,11,4,4,3,0,0.4551673853111001,0.6953585840238125,0.41267449657011557,0.33215974598056,5,1
2,530.7353380487801,-8,0,140,28,1,3,3,0,0.7461892924643136,0.6841541949478993,0.32997149204333454,0.31084699054900167,1,1
3,26.43331930780798,-1,0,19,28,3,22,21,14,0.8916951159599875,0.6497321184287332,0.3290005921367479,0.20457133156139423,5,0
1,341.8336843514289,-16,0,75,22,0,24,21,7,0.5852840456830893,0.4318642279392056,0.4995677750303663,0.32434799776788925,5,0
4,242.15284387464015,16,1,130,25,5,12,0,0,0.723292123842446,0.6982124357548455,0.306510714448231,0.3777043021075258,3,1
1,662.7858372738393,-1,0,55,36,5,3,0,0,0.3640704708649324,0.5828614459413848,0.30064001698361065,0.28299237775481334,2,1
4,8.64217963633143,3,0,15,31,2,17,17,12,0.49623817921693947,0.46687247482884714,0.3973336872744909,0.3110518181933631,5,0
4,398.0267105172113,15,0,192,37,0,15,14,0,0.7296268565100292,0.602280606884295,0.43518809925714325,0.35977244190411295,5,0
1,533.2777783679708,13,1,100,5,3,17,13,1,0.7276582273722945,0.6569570686239043,0.49562613088086194,0.3530921848837836,3,0
1,349.2129510173097,13,0,69,7,3,1,0,0,0.42452626456950415,0.4336983282542908,0.4253534435593652,0.20548039824573477,2,0
4,61.490181717159594,-2,1,143,16,2,22,14,9,0.5436673415583227,0.6749314429868274,0.3904677665626024,0.39751017903291797,3,0
3,700.1722008200896,-4,1,43,11,3,3,0,0,0.9238553395509694,0.6760612844256986,0.3522829294395219,0.1085698000141152,5,1
3,372.9675105907905,-16,0,17,21,0,19,14,10,0.6319976049432336,0.4040393218693954,0.3987782022431666,0.3960122715306289,1,0
4,442.2140959096882,4,1,98,13,5,16,15,4,0.6425746256865896,0.6700957364990182,0.40020874918817295,0.17379914001598248,5,0
1,170.35904354940527,-3,0,116,33,1,19,8,5,0.78462029238536,0.6840453754720468,0.3044278734660809,0.2321311151365744,1,1
2,348.11862127689875,-13,1,152,18,5,5,2,1,0.11522289631597282,0.41130753909410356,0.41780214038345087,0.36510662134741434,4,0
1,308.9876342099917,6,1,74,5,5,17,6,1,0.5228842916487275,0.4882498970524152,0.301105947666101,0.17329865155822555,2,1
4,53.92500624142829,-6,0,116,17,0,19,6,4,0.959431736270982,0.5119322520448379,0.37248870584883975,0.16743449052701775,4,0
3,76.4354545541764,-8,1,30,35,3,6,0,0,0.3616603921760989,0.504667141619917,0.3149673781574781,0.2929326286564248,3,0
2,602.9802141255177,-5,0,67,36,2,12,10,2,0.29492614642209103,0.6277009711810567,0.32820025593243773,0.3116351576785831,5,1
1,172.67036558874497,1,1,51,37,2,8,5,3,0.6012079656047576,0.5074313377671601,0.40346925499900743,0.10224120526030818,4,1
2,140.36995547901398,-1,0,60,14,4,1,1,1,0.22111942456530342,0.6869736429684227,0.26612127868445007,0.23513327079273605,2,1
2,363.53624490010026,-8,0,3,37,2,7,7,0,0.555945156523649,0.6984977875914213,0.2530087038310569,0.24673269336418607,1,0
3,553.4979345810093,-1,0,104,39,2,13,4,4,0.15565201085764058,0.495045661211874,0.2826550023869109,0.18155055991658625,1,0
3,44.601493376871304,-19,0,5,8,3,21,7,3,0.5797934606979056,0.5526402259619521,0.2921767445186244,0.26383291438867146,3,0
4,415.3017021395442,14,1,28,5,1,23,23,18,0.6023791836451775,0.5673117520900022,0.2994682420114085,0.14637328170164696,3,0
2,85.83151884521283,-2,0,108,1,1,17,3,2,0.41840047901226285,0.5738208489901185,0.4434827675536199,0.19708174055721966,5,0
1,26.25195659444529,16,0,139,15,3,0,0,0,0.38274642543868853,0.5122626982585898,0.3617144917594697,0.31397177006636456,4,0
3,37.97564555679652,-15,0,200,0,2,22,0,0,0.24545827840044931,0.44979805058764893,0.36748403346106806,0.3621359613607913,5,1
4,600.5981579100778,-7,0,101,29,0,8,5,1,0.33092230783359433,0.41636816251933834,0.41108354071388586,0.2768136885139617,1,1
3,84.94018821220433,-17,1,200,32,5,8,0,0,0.49834596719136337,0.43190459969494965,0.4322771921032119,0.1224533618023594,1,0
4,32.508982376850206,1,0,76,0,5,1,0,0,0.24765890102910104,0.6703873712781523,0.250877087388359,0.30362376092951254,4,0
2,315.28791874289686,18,1,15,38,1,15,4,3,0.7828344633718626,0.48411250198615213,0.46418133395129235,0.36927934626690917,5,0
3,607.6752997982578,15,0,83,15,3,3,2,2,0.7090352413257717,0.4230468949633134,0.4971087118185271,0.25129421289900467,3,0
2,188.9340310722974,13,0,48,16,0,12,4,1,0.26930586714599547,0.5870589098633059,0.28045185805960543,0.24810758983091963,4,0
1,303.6330846186598,6,0,127,37,2,16,4,3,0.09743516310154798,0.42259214537838563,0.4127701459142259,0.39742407383568656,3,0
1,28.74422344590088,-14,0,46,17,3,10,0,0,0.0001800389839627936,0.42101588190070727,0.25060343860024414,0.2908893362638129,4,0
1,323.3365301771106,-18,0,28,21,1,22,11,10,0.5967188523814889,0.5864711517613664,0.2622573715436456,0.3418086704998501,3,0
3,415.88141805873624,12,0,7,21,0,1,0,0,0.21136374645364886,0.5774185732595591,0.32125025502151383,0.2939480455828636,2,0
2,411.0530787015442,-19,1,199,34,0,3,2,1,0.012582470101539123,0.41244318608498803,0.4616010211049085,0.16627470596917326,1,1
3,239.34721836554291,-5,1,94,30,1,11,2,1,0.35908527059202267,0.5381433503310846,0.41312522535943436,0.18522345519887978,4,1
4,227.18389007745756,4,0,82,39,0,1,0,0,0.9619984623174334,0.5307304923718104,0.3614552329930817,0.29971172762468257,2,0
1,76.76900563435048,-6,0,88,26,5,0,0,0,0.6899428076298173,0.5640067389107665,0.35964961840059817,0.2368213390215734,4,1
2,264.09479086531326,3,0,134,35,1,22,20,2,0.8577637029224581,0.6213534131310362,0.36651339358828167,0.22130433706484245,1,1
4,71.63616158853455,-6,1,186,3,5,5,4,1,0.14473909826073006,0.48484001426865825,0.32775827695025095,0.10673558601441796,1,0
1,551.9490801926771,10,0,68,4,3,15,11,5,0.07328815461943639,0.5298340850751431,0.4694286294063786,0.365310720219609,3,1
1,695.7174943786938,-7,1,55,24,4,1,0,0,0.011529763509722457,0.6378228053082895,0.3919672827999493,0.3653493369510362,1,0
2,698.453608800029,-7,1,195,30,2,13,2,1,0.9556622900194871,0.6767669171381705,0.3709874908814632,0.23829133741741496,1,1
1,622.8511915502836,-15,1,177,13,3,19,12,0,0.30020273535354847,0.6673968919149633,0.36626915078927597,0.3102217625877046,1,1
4,432.57034752452574,-7,1,118,29,5,11,10,7,0.45950494234085804,0.5432892856282125,0.48395661672448564,0.15334580612059337,5,1
4,504.62330201559354,-4,1,179,11,2,18,5,1,0.3945236236017745,0.5562597391006305,0.4309154820549205,0.25114330737513824,5,0
3,205.34817792989813,-3,0,187,26,2,2,0,0,0.7304569353928593,0.5587316326456477,0.28620363867914644,0.23165969256995658,1,1
4,454.15470252428685,-1,1,134,23,5,18,5,3,0.3099648819527431,0.6606146709122453,0.3592425424858163,0.29698407124348536,5,0
4,328.06767559671175,-4,1,108,29,5,10,3,1,0.5354528826140516,0.6519818520814002,0.32209305260363086,0.24089377034326123,4,1
1,347.0524846393914,-5,0,51,17,1,3,3,3,0.9955822649554675,0.4934597585636035,0.49671716443254066,0.2495302848006887,2,1
4,545.5991234701137,19,0,38,13,4,16,4,2,0.44406355134423625,0.4488549068266106,0.3538489265782952,0.18871373710400713,2,0
3,202.9812160300212,18,1,139,18,5,16,12,1,0.5512715406997556,0.5136923684476304,0.2669675257574456,0.11452695049137408,5,0
4,228.98852042005433,11,0,180,21,2,6,0,0,0.5025280623108378,0.48652191497482034,0.3528030003657011,0.3751077277052173,2,0
4,665.7420896126184,-12,0,93,25,2,4,0,0,0.8031861581360322,0.6852342174444728,0.3303375701514838,0.10366948705222724,5,1
2,40.48149229270002,6,0,20,6,3,18,2,2,0.266839654033575,0.4797747038315955,0.3998956617695619,0.18439732856839813,3,0
1,349.6566948576051,12,1,10,27,4,24,19,15,0.17043801614279697,0.4543620045180807,0.30651954380725743,0.2342832346582904,1,0
1,657.2165762936604,-11,1,26,37,4,20,17,4,0.754093158264862,0.6698437187677646,0.2589934124248454,0.1957277062877208,2,0
2,439.46136562907304,-4,0,48,4,2,25,24,6,0.4156181863686542,0.4259435813068213,0.2739700937897228,0.26557536101898116,1,1
4,393.4130934327351,15,0,91,35,4,18,14,5,0.9137260089766872,0.4780798154279381,0.32078689738359134,0.2384839045511549,2,1
4,179.81580904513575,-4,1,114,17,3,8,6,1,0.6441592857933977,0.5317333582001765,0.3370806578832769,0.1766428707590738,4,0
1,247.15835212640275,-3,1,14,13,1,16,0,0,0.5643431117117426,0.5785322134479046,0.4586126350111832,0.126406039271632,4,0
3,613.4748593793789,2,0,100,22,2,8,8,3,0.07045705482587716,0.4983018689119919,0.3175174210035962,0.14126058117525087,5,0
2,402.63705487328986,13,1,187,13,0,13,5,3,0.730411905137798,0.5488701990763015,0.2578732633690115,0.24589602077710426,1,1
1,370.6143795048815,-13,1,12,31,2,4,1,1,0.6860403655129582,0.45964935592918194,0.4451833708007136,0.3537836601957218,5,1
1,71.69739374882083,-8,0,116,4,2,21,0,0,0.6400719244871548,0.5722822360676456,0.46722939252224066,0.13019166757659406,3,1
2,11.540272647688647,2,0,123,21,1,1,1,1,0.26790952357069053,0.5223450424838978,0.37307655935013195,0.30316191556105326,5,0
4,693.8533358546754,-1,1,23,27,5,23,6,5,0.9467393216744445,0.654777906180535,0.3212318076891177,0.33762734375368275,5,1
2,271.430040446526,1,1,85,11,5,14,9,6,0.32165512703282007,0.5247202400165957,0.443034970029604,0.18303168349441845,5,0
3,434.3134047116431,2,1,72,17,0,15,14,6,0.15223095675393428,0.533144625364615,0.25222460167049765,0.30047184785556985,2,1
3,57.39485269484519,20,0,167,35,0,18,5,3,0.9872011549350138,0.5776524968027237,0.4810070572769737,0.3059973834048751,2,0
2,491.8422857205935,14,0,122,30,0,0,0,0,0.7462462791237681,0.43695100122308245,0.46638291121932784,0.3123378193079279,3,1
4,671.4480302682919,-18,0,137,12,5,22,6,3,0.4147868823261813,0.44703855301188433,0.38620830248870897,0.3672427274798463,1,0
4,414.4789821581422,13,0,95,19,1,11,5,3,0.9359164308887068,0.637071324168172,0.3193952969774472,0.2195578193473316,4,1
2,90.8030321102956,12,1,25,35,4,18,7,0,0.09111737436619727,0.48202563374186413,0.25821122068724944,0.1731067413014279,1,1
2,418.8394997809032,-4,0,17,6,0,19,1,0,0.08766121642655778,0.6054090786785368,0.4999559375492155,0.2631534603661809,4,0
2,551.7699934353498,-2,0,170,22,4,14,8,5,0.6824510186285855,0.42922809099316067,0.440518430759671,0.11876451197062463,2,1
2,292.61990633329344,9,1,29,33,3,4,0,0,0.1779720483788435,0.6465539980954039,0.3346774689520396,0.20017627906013563,5,0
1,633.4831785178568,2,0,188,31,1,0,0,0,0.9171395151932842,0.6964684332756871,0.25481799290969614,0.3649675380141514,3,0
3,467.0517264173024,-6,1,67,20,4,10,10,7,0.8403591742988709,0.5121072835623353,0.4098229321151928,0.2596172680732639,3,0
3,647.4592211682258,-7,0,85,5,5,8,8,4,0.30636722410118644,0.551659030574469,0.4967260014379239,0.23100259127187775,3,0
1,448.9238240980828,-19,1,57,15,5,6,6,1,0.8888395822693702,0.5328135939519407,0.42676817715816684,0.17970517321030932,1,1
2,94.52733984347344,18,1,72,34,0,1,1,0,0.04288768700732837,0.668256324591707,0.2709286021424513,0.17511270541185245,2,0
4,222.97803199573616,-3,1,14,19,0,16,8,7,0.5486378527374939,0.4029802113090639,0.3505695930433891,0.1709836064080958,2,1
1,145.29236274176898,-15,0,39,40,4,15,0,0,0.9355627737088332,0.5960377963491508,0.2772958656818895,0.34877010043596457,5,0
1,654.3550783561409,11,1,144,10,5,15,2,0,0.8553829789356981,0.5957104818410598,0.4780401374002369,0.3955061116578429,1,0
2,547.4880484469875,0,0,18,31,4,13,1,0,0.356073323800995,0.5147155024893859,0.3326036177381452,0.2604395299819337,5,0
4,487.0068256152044,19,0,75,13,3,1,0,0,0.18287043523463486,0.46580009263510436,0.4333441323351678,0.12395002515184397,4,0
1,216.69575013476762,7,0,102,23,1,18,15,2,0.21054058840374457,0.4719048044245107,0.27117258950227663,0.3253117137805571,2,1
3,132.51223587615374,6,0,20,38,5,2,2,2,0.5145078780784053,0.6401392363641674,0.2821036739488599,0.3631163270260961,3,0
4,544.6447833520165,-19,0,117,30,2,7,0,0,0.5967729438364741,0.41983092891248774,0.41987191551267117,0.3793684512968537,5,0
1,341.3937210329374,12,0,174,16,5,20,20,3,0.03281431662363643,0.5691472438823076,0.4608699870905423,0.2886326038064156,4,0
3,162.56847754845296,-5,1,117,24,3,24,16,7,0.41355155923488807,0.4920521808934797,0.3003624890828197,0.25206424997764587,3,1
2,443.9678242789981,18,1,173,8,5,18,2,1,0.8303871156439045,0.4795743437404961,0.35458431149926584,0.28615819433992395,3,0
3,29.040373539685422,1,0,4,21,3,15,5,5,0.4443289502357971,0.5517212996593108,0.4048542586757817,0.10388521528389386,5,1
3,234.84258297234254,-8,0,84,34,5,21,21,0,0.16917539094941048,0.6693584518839301,0.44906908481506813,0.29662596258962504,5,1
3,337.36103610561696,-19,0,148,36,3,3,3,2,0.9548602930190968,0.5854275757111993,0.4070491525948203,0.31289391797666444,5,1
1,106.5300005587722,-7,0,139,16,0,7,2,0,0.2662755399264667,0.636583188326597,0.2738564801606442,0.31660910429136657,2,1
4,708.9512238654045,17,0,114,27,4,0,0,0,0.7984282656340606,0.5802051337788643,0.385704832083521,0.268921534272824,1,0
2,150.55010250452227,20,1,65,0,5,3,3,1,0.19379416633893487,0.6093147339618221,0.4711516703691425,0.31001331139640875,5,0
1,93.8542536311512,7,1,146,8,1,6,6,3,0.4231727292215899,0.5297222946379887,0.467005930255996,0.29164971721905775,2,0
1,146.5451091985654,-14,0,167,12,0,24,21,16,0.49042253977481187,0.6777944905624551,0.39625390193774035,0.1346585259526898,1,0
3,553.7240158750014,-3,0,44,31,3,0,0,0,0.5006352959482445,0.5505817061317483,0.4989240516927097,0.36951003082073086,4,1
3,306.36407467572684,20,1,118,27,1,23,10,9,0.5164738681007048,0.5655324007680289,0.2762809305960888,0.2868182523063669,1,0
1,407.09947662182736,15,0,100,30,0,17,17,12,0.22494754068976142,0.5574896509764549,0.3696488393479132,0.31833831114490807,2,1
3,15.126593030179736,20,0,18,7,2,3,0,0,0.5159155219608352,0.4948567060494755,0.4437809098381851,0.20286625597523528,2,0
1,24.79054217278648,15,0,175,7,5,19,13,2,0.48171275387775425,0.4693715306797557,0.28525952952853983,0.37577185486872566,1,0
3,320.99439587545163,-17,1,159,33,5,13,5,2,0.20871949712626325,0.4221504892346665,0.49318744037071366,0.2507847298566074,1,0
1,587.9917751051689,9,1,128,22,3,7,1,0,0.9881915595037108,0.6154524946007646,0.33851163629591124,0.3037017974975973,2,0
3,637.371992669447,3,0,167,9,0,17,10,10,0.8655633927865501,0.4867825789511112,0.3375349384946477,0.38565461817936986,2,1
2,62.428728668860956,-1,1,38,36,0,6,2,0,0.887576351022483,0.5167593889586821,0.3032985752853016,0.374824823479858,4,0
4,387.6214335127364,10,1,175,24,3,2,1,1,0.6855710503828949,0.6759784488178637,0.3220043660166486,0.2934396312216124,2,0
1,657.5253741210747,3,0,198,32,2,24,9,5,0.15989703069175654,0.569934204823562,0.39439722501827434,0.14972241745997344,2,0
2,279.3403831664782,-14,1,136,3,5,20,3,3,0.5680920638997489,0.42912341917118146,0.35733857226273863,0.38517052929208473,3,1
1,597.2873986284254,5,1,104,6,4,13,0,0,0.8214396316273861,0.6398835738471549,0.2983445445816826,0.39524070919329035,3,0
4,96.26087116759406,-8,1,193,32,2,11,9,9,0.03873648868866253,0.4768391797328366,0.4522849850791173,0.13101900861460464,3,0
4,673.4840325608151,-13,1,13,1,3,14,8,5,0.4958431032876197,0.5658117527938548,0.2655598267810149,0.2350893046354911,5,0
2,541.0247886225379,-16,1,55,31,4,7,5,1,0.39612287999491813,0.5529944424591972,0.45866318612506796,0.26447666915385304,5,0
3,677.7607628065692,-8,1,88,4,0,4,4,1,0.21212472965930362,0.4714236527055642,0.3187346811619781,0.12762446214067716,2,0
4,487.16440815780464,8,0,85,16,2,16,10,2,0.3782500037653177,0.4347313104383743,0.373975833273993,0.156903984837898,3,0
3,261.65083103958744,-1,0,109,11,2,24,9,2,0.9834975108694528,0.4633784819484904,0.345266134647098,0.2613116173238119,4,0
3,675.4904442178001,-7,0,43,11,5,9,7,0,0.7232433263617776,0.4292013398691897,0.39265052834742853,0.3889268343551966,4,0
1,198.4080789426085,11,1,132,34,5,10,4,0,0.2995370800149414,0.4826884056856304,0.44899749878504386,0.10834299277862741,4,1
1,239.16421588444743,6,0,71,20,4,22,2,1,0.6053550514808296,0.6991892532212394,0.4973299483686737,0.3737329222470622,2,1
4,504.58206096125303,4,1,188,20,0,15,3,2,0.24665624028567978,0.5206276795724147,0.3265147864134754,0.36958245101481724,3,0
4,551.0277356582781,-17,1,12,1,2,15,2,1,0.6108439090242739,0.659166517400503,0.38845110309088343,0.35715359055596696,2,0
3,669.1705083713907,0,0,59,20,4,3,1,0,0.8961666894849317,0.5647533076387184,0.3665018871937493,0.2132652785992733,2,0
2,147.45773452047084,-3,1,182,14,2,22,12,8,0.5568767999425523,0.5999749238001199,0.4997320398282802,0.24724706116240083,4,0
2,574.5585853578413,18,0,44,10,5,4,4,2,0.7333399754526827,0.4469043909251669,0.45222840762486227,0.2210783917977618,3,0
3,531.7531584458137,-6,1,16,9,0,9,7,5,0.4533389987162968,0.48244176022659263,0.3492709646450482,0.38427585592864866,5,1
4,45.932080502590466,17,0,134,17,0,13,0,0,0.5241239176639966,0.5531330269086776,0.3692197639019116,0.2564051859321719,1,0
4,278.800661671349,3,0,14,22,1,8,8,0,0.6950750787548786,0.6643430302680522,0.31148914860664834,0.12418378260011291,2,1
4,203.59112908327097,-13,0,115,30,4,17,10,6,0.8124050050513972,0.4128664107654821,0.43881182993720663,0.18221795329335322,3,0
3,219.23310553490188,7,0,112,25,5,19,2,1,0.6594513865254497,0.5520759878697162,0.4613029465946106,0.23860996387442632,1,0
1,707.7217532793846,0,1,123,1,5,5,0,0,0.977491993890093,0.415303663752529,0.49124670590573005,0.3860667796953384,1,0
1,462.79973770554807,-5,0,58,38,5,10,2,2,0.8198225877982828,0.5370468029347848,0.3914572242044493,0.27068532718669175,5,0
4,516.7268336113196,-5,1,159,6,3,20,12,2,0.7771602046078752,0.588660447799791,0.41767075055935987,0.30882178695040174,5,1
3,703.1646988668066,14,0,169,23,2,16,15,8,0.8451015789810254,0.6234169574284922,0.36151470791736484,0.1265559542001482,2,1
1,271.58528336949985,-4,0,120,38,0,8,1,1,0.28121093542434905,0.441559601578188,0.40228212758441095,0.3631972137774244,2,0
1,577.3249212860203,-12,0,35,31,2,24,22,20,0.43204715394838067,0.4499725850384044,0.3371872575600327,0.26170546660413624,3,0
3,312.8622935792367,14,1,10,25,2,2,1,1,0.5644629183945907,0.5410194765075371,0.4344222791301598,0.37636852376218266,5,0
